Latest: Wavelength (nm),Run 1: Intensity (rel),Run 2: Intensity (rel),Run 3: Intensity (rel),Run 4: Intensity (rel),Run 5: Intensity (rel),Run 6: Intensity (rel),Run 7: Intensity (rel),Run 8: Intensity (rel),Run 9: Intensity (rel),Run 10: Intensity (rel)
380,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
381,0.011,0.011,0.012,0.011,0.011,0.011,0.012,0.011,0.011,0.011
382,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
383,0.012,0.012,0.013,0.013,0.012,0.013,0.012,0.012,0.013,0.013
384,0.013,0.013,0.013,0.013,0.013,0.014,0.013,0.013,0.013,0.013
385,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
386,0.014,0.015,0.015,0.015,0.015,0.014,0.015,0.014,0.015,0.015
387,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016
388,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
389,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.017
390,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
391,0.018,0.019,0.019,0.018,0.019,0.018,0.019,0.018,0.019,0.018
392,0.019,0.019,0.019,0.019,0.02,0.019,0.02,0.019,0.019,0.02
393,0.02,0.021,0.02,0.021,0.02,0.02,0.02,0.02,0.021,0.021
394,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
395,0.023,0.023,0.024,0.023,0.023,0.024,0.024,0.023,0.024,0.023
396,0.024,0.024,0.025,0.024,0.025,0.024,0.025,0.025,0.025,0.025
397,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
398,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.026
399,0.027,0.027,0.027,0.027,0.028,0.028,0.028,0.027,0.028,0.028
400,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
401,0.029,0.029,0.03,0.029,0.029,0.03,0.03,0.029,0.03,0.03
402,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.032,0.031
403,0.033,0.032,0.033,0.032,0.033,0.033,0.033,0.032,0.033,0.033
404,0.034,0.034,0.034,0.033,0.034,0.033,0.034,0.033,0.034,0.034
405,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035
406,0.036,0.036,0.036,0.035,0.036,0.036,0.036,0.035,0.035,0.035
407,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
408,0.038,0.038,0.038,0.038,0.039,0.039,0.039,0.038,0.038,0.038
409,0.039,0.039,0.039,0.04,0.039,0.04,0.039,0.039,0.039,0.039
410,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041
411,0.042,0.042,0.043,0.043,0.042,0.042,0.043,0.042,0.042,0.042
412,0.044,0.043,0.044,0.044,0.043,0.044,0.044,0.043,0.044,0.044
413,0.046,0.045,0.046,0.045,0.045,0.045,0.045,0.045,0.046,0.045
414,0.046,0.047,0.047,0.047,0.047,0.047,0.047,0.046,0.047,0.047
415,0.048,0.048,0.047,0.048,0.047,0.048,0.048,0.047,0.048,0.047
416,0.049,0.049,0.049,0.049,0.048,0.049,0.049,0.049,0.049,0.049
417,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
418,0.052,0.052,0.052,0.05,0.051,0.051,0.052,0.051,0.051,0.051
419,0.054,0.054,0.055,0.054,0.054,0.055,0.054,0.054,0.055,0.055
420,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056
421,0.058,0.057,0.057,0.057,0.058,0.058,0.058,0.057,0.057,0.057
422,0.059,0.06,0.06,0.06,0.06,0.06,0.06,0.059,0.059,0.059
423,0.06,0.06,0.06,0.06,0.06,0.06,0.061,0.06,0.06,0.06
424,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
425,0.065,0.065,0.065,0.065,0.065,0.066,0.065,0.065,0.066,0.065
426,0.066,0.066,0.066,0.066,0.067,0.067,0.067,0.066,0.067,0.067
427,0.067,0.067,0.067,0.067,0.068,0.068,0.068,0.068,0.068,0.068
428,0.068,0.068,0.069,0.068,0.069,0.068,0.069,0.068,0.068,0.068
429,0.071,0.07,0.071,0.071,0.07,0.07,0.071,0.07,0.071,0.071
430,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.072,0.074,0.072
431,0.075,0.075,0.075,0.076,0.075,0.075,0.075,0.075,0.075,0.075
432,0.077,0.077,0.078,0.076,0.076,0.076,0.076,0.076,0.076,0.076
433,0.079,0.079,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078
434,0.081,0.082,0.082,0.082,0.082,0.081,0.082,0.081,0.081,0.081
435,0.081,0.082,0.083,0.082,0.083,0.082,0.084,0.083,0.083,0.083
436,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
437,0.089,0.089,0.09,0.089,0.089,0.09,0.09,0.09,0.09,0.09
438,0.092,0.092,0.092,0.091,0.092,0.093,0.092,0.092,0.092,0.092
439,0.093,0.092,0.093,0.093,0.094,0.094,0.094,0.094,0.095,0.094
440,0.096,0.096,0.096,0.096,0.096,0.096,0.097,0.096,0.097,0.096
441,0.102,0.101,0.103,0.103,0.102,0.103,0.103,0.103,0.103,0.103
442,0.105,0.105,0.105,0.106,0.105,0.105,0.106,0.105,0.105,0.105
