Latest: Wavelength (nm),Run 1: Intensity (rel),Run 2: Intensity (rel),Run 3: Intensity (rel),Run 4: Intensity (rel),Run 5: Intensity (rel),Run 6: Intensity (rel),Run 7: Intensity (rel),Run 8: Intensity (rel),Run 9: Intensity (rel),Run 10: Intensity (rel)
380,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006
381,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
382,0.007,0.006,0.007,0.006,0.007,0.007,0.007,0.007,0.006,0.007
383,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
384,0.008,0.008,0.008,0.007,0.007,0.008,0.008,0.008,0.008,0.008
385,0.008,0.009,0.009,0.008,0.009,0.008,0.008,0.009,0.008,0.008
386,0.01,0.01,0.009,0.009,0.01,0.01,0.009,0.009,0.01,0.01
387,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.01
388,0.01,0.01,0.01,0.011,0.01,0.01,0.011,0.01,0.011,0.01
389,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
390,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
391,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.013
392,0.013,0.013,0.013,0.013,0.012,0.013,0.013,0.013,0.013,0.013
393,0.014,0.014,0.014,0.013,0.014,0.014,0.014,0.014,0.014,0.014
394,0.015,0.014,0.015,0.015,0.015,0.014,0.014,0.015,0.014,0.015
395,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.015,0.015
396,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
397,0.016,0.017,0.016,0.017,0.017,0.017,0.017,0.017,0.016,0.017
398,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.017,0.017,0.018
399,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
400,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
401,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.02,0.02
402,0.02,0.02,0.02,0.02,0.02,0.021,0.02,0.02,0.02,0.021
403,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
404,0.022,0.021,0.022,0.022,0.022,0.022,0.021,0.021,0.021,0.021
405,0.022,0.022,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022
406,0.022,0.022,0.022,0.021,0.022,0.022,0.022,0.022,0.021,0.021
407,0.022,0.022,0.022,0.022,0.022,0.023,0.022,0.022,0.022,0.022
408,0.023,0.022,0.023,0.022,0.022,0.022,0.022,0.023,0.022,0.022
409,0.023,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
410,0.023,0.023,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023
