Latest: Wavelength (nm),Run 12: Intensity (rel),Run 13: Intensity (rel),Run 14: Intensity (rel),Run 15: Intensity (rel),Run 16: Intensity (rel),Run 17: Intensity (rel),Run 18: Intensity (rel),Run 19: Intensity (rel),Run 20: Intensity (rel),Run 21: Intensity (rel)
380,0.009,0.009,0.009,0.008,0.009,0.009,0.009,0.009,0.009,0.009
381,0.009,0.01,0.01,0.009,0.009,0.009,0.01,0.009,0.01,0.009
382,0.01,0.01,0.01,0.01,0.01,0.011,0.01,0.011,0.01,0.01
383,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
384,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
385,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012
386,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
387,0.013,0.013,0.014,0.013,0.014,0.014,0.013,0.013,0.013,0.013
388,0.014,0.014,0.015,0.014,0.015,0.015,0.015,0.014,0.015,0.014
389,0.015,0.016,0.016,0.016,0.016,0.015,0.015,0.016,0.016,0.015
390,0.016,0.017,0.017,0.016,0.016,0.017,0.017,0.017,0.016,0.017
391,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
392,0.017,0.017,0.018,0.017,0.017,0.017,0.018,0.017,0.018,0.018
393,0.019,0.019,0.019,0.019,0.018,0.019,0.019,0.019,0.019,0.019
394,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
395,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
396,0.023,0.023,0.022,0.022,0.022,0.023,0.022,0.022,0.023,0.022
397,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
398,0.024,0.025,0.025,0.024,0.024,0.024,0.025,0.024,0.024,0.024
399,0.025,0.025,0.026,0.025,0.025,0.025,0.025,0.025,0.026,0.025
400,0.026,0.027,0.027,0.027,0.026,0.027,0.026,0.026,0.026,0.026
401,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.027,0.028,0.028
402,0.029,0.029,0.029,0.029,0.029,0.03,0.029,0.029,0.029,0.029
403,0.03,0.031,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
404,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
405,0.032,0.032,0.032,0.032,0.031,0.032,0.032,0.032,0.032,0.032
406,0.033,0.033,0.033,0.033,0.032,0.033,0.032,0.032,0.032,0.032
407,0.033,0.033,0.034,0.034,0.033,0.033,0.033,0.033,0.033,0.033
408,0.034,0.035,0.034,0.035,0.034,0.034,0.035,0.034,0.034,0.034
409,0.036,0.036,0.036,0.036,0.036,0.036,0.037,0.036,0.036,0.037
410,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
411,0.038,0.038,0.038,0.038,0.038,0.038,0.039,0.038,0.038,0.038
412,0.04,0.04,0.04,0.04,0.04,0.04,0.039,0.04,0.04,0.04
413,0.04,0.04,0.041,0.04,0.041,0.04,0.04,0.04,0.04,0.04
414,0.04,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041
